Year,Yr Avg.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,4.9,4.9,4.9,5,5,4.8,4.9,4.8,4.9,5,4.9,4.7,4.7
2017,4.3,4.7,4.6,4.4,4.4,4.4,4.3,4.3,4.4,4.2,4.1,4.2,4.1
2018,3.9,4.1,4.1,4,4,3.8,4,3.8,3.8,3.7,3.8,3.7,3.9
2019,3.7,4,3.8,3.8,3.6,3.6,3.7,3.7,3.7,3.5,3.6,3.5,3.5
2020,7.9,3.6,3.5,4.4,14.7,13.3,,,,,,,
